age,gender,marriage,children,family ,education,income,car,income_type,house,work_days,registraion_time,document_change,jobtitle,amount ,rate ,period,time,social_stability,social_exposure,social_quality,sentiment,defaulter
24,female,divorced,have,5,Junior school,500000,yes,1,own,6,30,10,software engineer,2000000,15,30,1,3,2,1,0,1
33,female,married,don't have,3,masters,600000,yes,3,own,6,20,10,executive chef,3000000,12,35,10,9,3,0,0,0
34,male,married,don't have,3,bachelors,2000000,yes,4,own,5,20,15,business,2000000,12,35,9,7,2,0,1,0
44,male,unmarried,don't have,3,Junior school,3500000,no,1,own,6,30,10,executive chef,6000000,12.5,30,12,15,4,0,1,0
41,male,unmarried,have,4,masters,2000000,no,6,own,3,30,15,manager,30000000,12,30,1,2,3,1,0,1
32,male,unmarried,have,5,masters,2000000,yes,2,parent's house,6,20,10,data analyst,3000000,13.5,15,11,10,4,0,0,0
21,female,married,have,4,bachelors,1800000,yes,2,own,5,30,20,executive chef,50000000,13,30,11,10,1,1,1,0
37,female,married,have,2,bachelors,700000,no,5,rent,5,20,15,manager,2000000,18,18,11,1,3,2,0,1
21,female,unmarried,have,1,masters,500000,yes,5,own,7,20,20,data analyst,3000000,18,12,10,12,4,0,0,0
48,female,married,don't have,5,masters,500000,no,3,own,6,30,20,business,5000000,12,15,11,4,4,2,0,1
49,female,divorced,don't have,1,masters,2000000,no,2,parent's house,5,20,20,business,3000000,13.5,10,9,5,4,1,0,1
42,male,married,have,3,Junior school,1500000,no,6,rent,7,30,20,executive chef,50000000,12.5,40,11,10,3,0,1,0
21,male,unmarried,have,4,bachelors,1800000,yes,1,own,3,20,15,executive chef,6000000,15,12,12,7,3,1,1,0
23,male,unmarried,don't have,1,masters,1800000,yes,5,own,3,20,20,business,8000000,12.5,45,11,1,3,2,0,1
48,male,unmarried,have,2,masters,1800000,yes,2,rent,7,20,15,executive chef,6000000,13.5,40,12,25,3,0,1,0
34,female,married,have,1,bachelors,1500000,no,6,own,7,20,10,data analyst,3000000,13,15,9,6,4,0,0,0
29,female,married,don't have,3,Junior school,900000,no,1,own,3,30,20,business,6000000,12,35,1,8,2,1,1,0
46,male,divorced,don't have,2,masters,2500000,yes,1,own,5,20,15,manager,4000000,12,30,12,1,3,1,0,1
38,female,married,don't have,4,bachelors,700000,no,2,rent,6,30,15,manager,4000000,13.5,40,9,12,4,2,1,0
38,female,unmarried,have,1,bachelors,700000,no,1,parent's house,6,20,20,Tech lead,2000000,12,8,10,15,3,0,1,0
21,female,married,don't have,2,Junior school,1800000,yes,6,parent's house,6,30,10,executive chef,50000000,18,25,1,0.9,3,1,0,1
30,male,unmarried,don't have,2,masters,2000000,no,2,rent,6,30,20,software engineer,8000000,13,10,11,20,3,1,1,0
33,male,married,don't have,4,bachelors,700000,no,1,rent,7,20,10,executive chef,6000000,12,10,11,11,2,0,1,0
50,male,married,have,2,Junior school,3500000,yes,2,parent's house,3,30,10,data analyst,50000000,18,8,12,1,1,1,0,1
50,male,divorced,don't have,3,bachelors,2500000,yes,1,rent,5,30,20,software engineer,3000000,15,35,11,9,4,0,0,0
42,male,divorced,have,1,bachelors,1600000,yes,6,own,3,20,10,executive chef,4000000,15,18,9,0.8,4,1,0,1
41,male,married,don't have,4,bachelors,700000,no,2,rent,6,30,10,Tech lead,6000000,15,45,9,7,1,0,1,0
36,female,married,have,4,masters,900000,no,6,parent's house,3,20,10,manager,9000000,12,8,11,3,3,1,0,1
30,male,divorced,don't have,4,masters,1800000,no,5,own,6,30,10,Tech lead,2000000,13,10,9,9,4,0,1,0
45,male,unmarried,don't have,4,Junior school,1600000,yes,2,own,6,20,20,software engineer,50000000,18,8,1,8,2,0,1,0
21,female,unmarried,don't have,2,masters,1500000,yes,2,parent's house,5,20,10,data analyst,2000000,15,18,11,3,2,1,0,1
26,female,unmarried,don't have,5,Junior school,2500000,yes,2,rent,6,20,10,Tech lead,9000000,12,18,10,5,2,1,0,1
21,female,unmarried,have,3,Junior school,1500000,yes,4,own,3,20,10,manager,3000000,12,12,10,0.9,3,1,0,1
39,female,divorced,don't have,3,Junior school,2000000,yes,4,parent's house,7,30,20,executive chef,30000000,13.5,25,10,13,3,0,1,0
43,female,married,have,5,bachelors,600000,no,6,rent,3,20,10,data analyst,3000000,15,25,12,5,4,1,0,1
36,male,married,don't have,1,bachelors,1600000,no,2,own,3,20,15,Tech lead,2000000,15,15,12,1,3,1,0,1
40,female,divorced,have,3,Junior school,600000,yes,5,own,6,20,20,Tech lead,9000000,15,45,1,10,2,0,1,0
22,male,divorced,don't have,1,Junior school,1800000,yes,2,own,6,20,15,executive chef,9000000,13,18,1,9,1,0,1,0
31,male,divorced,don't have,1,bachelors,800000,no,5,parent's house,6,30,15,data analyst,9000000,12,8,12,7,2,0,1,0
29,male,unmarried,don't have,4,bachelors,700000,no,6,own,5,30,20,data analyst,7000000,13.5,40,12,10,2,0,1,0
45,female,married,have,5,Junior school,1500000,yes,6,rent,6,30,20,executive chef,50000000,18,10,1,7,2,1,1,0
33,female,married,don't have,2,bachelors,700000,no,1,own,5,30,10,Tech lead,7000000,18,35,11,20,4,0,0,0
36,female,divorced,don't have,2,bachelors,1800000,no,6,rent,7,30,10,software engineer,8000000,18,8,11,15,2,0,1,0
23,male,divorced,have,4,bachelors,500000,no,4,rent,5,30,15,data analyst,8000000,15,12,9,1,3,2,0,1
30,male,married,have,1,bachelors,2000000,yes,1,parent's house,5,30,15,data analyst,3000000,12,15,10,10,3,0,1,0
50,female,divorced,have,4,bachelors,700000,yes,2,own,6,20,20,executive chef,4000000,15,8,10,20,4,1,1,0
24,female,unmarried,don't have,3,masters,900000,yes,2,parent's house,3,30,10,Tech lead,2000000,12,30,9,21,2,0,0,0
26,female,unmarried,don't have,2,bachelors,2000000,no,5,rent,3,30,15,executive chef,6000000,12,40,11,7,1,0,1,0
48,female,unmarried,don't have,4,bachelors,500000,no,3,rent,6,30,15,business,5000000,18,35,10,22,3,2,1,0
50,female,unmarried,have,1,bachelors,800000,yes,6,own,5,30,15,executive chef,5000000,12.5,45,12,3,2,1,0,1
